Time,State,Repeat,Weight,Angle,Current
13:37.8,Extension,5,330.57,64.26,777.41
13:37.9,Extension,5,306.34,67.19,-524.55
13:38.1,Extension,5,117.68,70.42,209.82
13:38.2,Extension,5,-44.89,73.7,102.22
13:38.3,Extension,5,-170.88,77.04,177.54
13:38.4,Extension,5,-178.15,80.29,376.6
13:38.6,Extension,5,-203.2,83.63,99.53
13:38.7,Extension,5,-245.24,86.82,242.1
13:38.8,Extension,5,-254.4,90.1,242.1
13:38.9,Extension,5,-277.24,93.33,322.8
13:39.0,Extension,5,-332.12,96.64,164.09
13:39.2,Extension,5,-341.85,99.92,145.26
13:39.3,Extension,5,-347.18,103.11,129.12
13:39.4,Extension,5,-343.77,106.48,285.14
13:39.5,Extension,5,-319.11,109.76,333.56
13:39.6,Extension,5,-298.26,113.07,263.62
13:39.7,Extension,5,-277.77,116.38,274.38
13:39.9,Extension,5,-276.65,119.72,239.41
13:40.0,Extension,5,-275.58,123.03,271.69
13:40.1,Extension,5,-281.12,126.34,290.52
13:40.2,Extension,5,-282.91,129.65,129.12
13:40.4,Extension,5,-292.89,132.99,465.37
13:40.5,Extension,5,-298.6,136.33,258.24
13:40.6,Extension,5,-296.29,139.64,403.5
13:40.7,Extension,5,-274.81,143.01,223.27
13:40.8,Extension,5,-265.41,146.32,225.96
13:41.0,Extension,5,-250.58,149.69,217.89
13:41.1,Extension,5,-167.61,153.03,769.34
13:41.2,Extension,5,-114.46,156.29,-451.92
13:41.3,Extension,5,-105.76,159.63,169.47
13:41.4,Extension,5,-133.77,162.94,201.75
13:41.6,Extension,5,-148.64,166.16,220.58
13:41.7,Extension,5,-185.95,169.41,193.68
13:41.8,Extension,5,-265.26,172.66,274.38
13:41.9,Extension,5,-313.41,175.94,640.22
13:42.0,Extension,5,-346.74,179.17,336.25
13:42.2,Extension,5,-452.7,179.81,99.53
13:42.3,Extension,5,-485.41,179.81,99.53
13:42.4,Extension,5,-485.44,179.81,96.84
13:42.5,Extension,5,-472.28,179.81,99.53
13:42.6,Extension,5,-470.99,179.81,99.53
13:42.8,Extension,5,-465.76,179.81,96.84
13:42.9,Extension,5,-459.33,179.81,96.84
13:43.0,Extension,5,-460.44,179.81,96.84
13:43.1,Extension,5,-455.17,179.81,99.53
13:43.2,Extension,5,-461.09,179.81,99.53
13:43.4,Extension,5,-455.01,179.81,99.53
13:43.5,Extension,5,-452.78,179.81,96.84
13:43.6,Extension,5,-455,179.81,99.53
13:43.7,Extension,5,-466.86,179.81,99.53
13:43.8,Extension,5,-457.6,179.81,96.84
13:44.0,Extension,5,-447.27,179.81,99.53
13:44.1,Extension,5,-442.25,179.81,99.53
13:44.2,Extension,5,-444.63,179.81,96.84
13:44.3,Extension,5,-447.35,179.81,96.84
13:44.4,Extension,5,-447.5,179.81,99.53
13:44.6,Extension,5,-446.52,179.81,99.53
13:44.7,Extension,5,-447.16,179.81,99.53
13:44.8,Extension,5,-444.54,179.78,99.53
13:44.9,Extension,5,-446.71,179.78,96.84
13:45.0,Extension,5,-446.12,179.81,94.15
13:45.2,Extension,5,-442.72,179.81,99.53
13:45.3,Extension,5,-440.83,179.81,96.84
13:45.4,Extension,5,-440.72,179.81,99.53
13:45.5,Extension,5,-437.49,179.81,99.53
13:45.6,Extension,5,-434.21,179.81,99.53
13:45.8,Extension,5,-435.68,179.81,99.53
13:45.9,Extension,5,-434.37,179.81,99.53
13:46.0,Extension,5,-430.89,179.81,99.53
13:46.1,Extension,5,-427.75,179.81,99.53
13:46.2,Extension,5,-427.53,179.81,96.84
13:46.4,Extension,5,-429.47,179.81,99.53
13:46.5,Extension,5,-429.05,179.78,99.53
13:46.6,Extension,5,-424.52,179.81,99.53
13:46.7,Extension,5,-425.37,179.81,99.53
13:46.9,Extension,5,-428.24,179.81,99.53
13:47.0,Extension,5,-427.37,179.81,96.84
13:47.1,Extension,5,-428.41,179.81,96.84
13:47.2,Extension,5,-428.47,179.81,96.84
13:47.3,Extension,5,-430.17,179.81,96.84
13:47.4,Extension,5,-432.11,179.81,99.53
